,Name,Price,Mileage,Condition,Year,locations
0,Lexus LX 570,"₦ 50,015,000","21,204 km",Foreign Used,2018,"Ikate, Lekki, Lagos"
1,Toyota Camry,"₦ 5,015,000","140,309 km",Foreign Used,2013,"Ikorodu, Lagos"
2,Toyota Venza,"₦ 7,115,000","172,709 km",Foreign Used,2013,"Ipaja, Lagos"
3,Mercedes-Benz C 350,"₦ 4,815,000","114,936 km",Foreign Used,2010,"New road, Lekki, Lagos"
4,Toyota Lexus RX 450h,"₦ 8,515,000","77,012 mi",Foreign Used,2012,"New road, Lekki, Lagos"
5,Toyota Venza,"₦ 7,615,000","96,091 km",Foreign Used,2013,"Festac, Lagos"
6,Toyota Camry,"₦ 3,515,000","75,422 km",Foreign Used,2009,"Gwarinpa, Abuja"
7,Acura MDX,"₦ 4,215,000","221,505 km",Foreign Used,2009,"Surulere, Lagos"
8,Toyota Camry,"₦ 4,865,000","176,996 km",Foreign Used,2012,"Surulere, Lagos"
9,Toyota Highlander,"₦ 8,815,000","74,479 km",Foreign Used,2013,"Surulere, Lagos"
10,Toyota Camry,"₦ 4,865,000","72,308 mi",Foreign Used,2010,"Gwarinpa, Abuja"
11,Toyota Corolla,"₦ 2,815,000","134,462 km",Foreign Used,2008,"Gwarinpa, Abuja"
12,Toyota Highlander,"₦ 15,015,000","20,820 km",Foreign Used,2016,"Anthony, Lagos"
13,Toyota Prado,"₦ 25,015,000","69,601 km",Locally Used,2012,"Anthony, Lagos"
14,Kia Forte,"₦ 3,515,000","82,310 km",Foreign Used,2010,"Gwarinpa, Abuja"
15,Lexus GX 470,"₦ 5,815,000","155,601 mi",Foreign Used,2005,"Festac, Lagos"
16,Lexus LX 570,"₦ 42,515,000","31,504 km",Locally Used,2017,"Lagos, Lagos"
17,Lexus ES 350,"₦ 4,415,000","370,921 km",Foreign Used,2007,"Festac, Lagos"
18,Lexus ES 350,"₦ 4,645,000","194,550 km",Foreign Used,2008,"Festac, Lagos"
19,Toyota Sienna,"₦ 5,515,000","68,326 km",Foreign Used,2011,"Festac, Lagos"
20,Audi Q7,"₦ 5,685,000","201,050 km",Foreign Used,2008,"Festac, Lagos"
21,Lexus RX 350,"₦ 5,115,000","118,888 km",Foreign Used,2007,"Festac, Lagos"
22,Lexus RX 350,"₦ 7,765,000","137,471 km",Foreign Used,2010,"Festac, Lagos"
23,Mercedes-Benz C 300,"₦ 5,315,000","857,506 km",Foreign Used,2010,"Festac, Lagos"
24,Lexus ES 350,"₦ 50,015,000","72,443 km",Foreign Used,2011,"Festac, Lagos"
25,Toyota Highlander,"₦ 5,015,000","68,453 km",Foreign Used,2013,"Festac, Lagos"
26,Lexus RX 330,"₦ 7,115,000","57,451 km",Foreign Used,2004,"Festac, Lagos"
27,Mercedes-Benz GLK 350,"₦ 4,815,000","165,901 km",Foreign Used,2012,"Festac, Lagos"
28,Toyota Sienna,"₦ 8,515,000","68,208 km",Foreign Used,2012,"Festac, Lagos"
29,Lexus RX 350,"₦ 7,615,000","203,162 km",Foreign Used,2010,"Festac, Lagos"
30,Lexus RX 350,"₦ 3,515,000","68,204 mi",Foreign Used,2013,"Festac, Lagos"
31,Mercedes-Benz ML 350,"₦ 4,215,000","243,717 km",Foreign Used,2012,"Berger Mkt, Lagos"
32,Toyota RAV 4,"₦ 4,865,000","83,554 km",Foreign Used,2013,"Ikate, Lekki, Lagos"
33,Toyota Corolla,"₦ 8,815,000","63,380 km",Foreign Used,2016,"Ikate, Lekki, Lagos"
34,Hyundai Santa Fe,"₦ 4,865,000","146,372 km",Foreign Used,2013,"Ikate, Lekki, Lagos"
35,Lexus ES 350,"₦ 2,815,000","98,219 km",Foreign Used,2013,"Ikate, Lekki, Lagos"
36,Toyota Highlander,"₦ 15,015,000","48,415 km",Foreign Used,2016,"Ikate, Lekki, Lagos"
37,Mercedes-Benz C 300,"₦ 25,015,000","91,406 km",Foreign Used,2014,"Ikate, Lekki, Lagos"
38,Mercedes-Benz C 300,"₦ 3,515,000","48,013 km",Foreign Used,2015,"Ikate, Lekki, Lagos"
39,Toyota Camry,"₦ 5,815,000","72,283 km",Foreign Used,2012,"Kubwa Express, Abuja"
40,Lexus LX 570,"₦ 30,015,000","35,751 km",Foreign Used,2011,"Jahi, Abuja"
41,Toyota Landcruiser Prado,"₦ 14,515,000","52,310 km",Foreign Used,2011,"Jahi, Abuja"
42,Pontiac Vibe,"₦ 2,515,000","193,892 km",Foreign Used,2006,"Gwarinpa, Abuja"
43,Toyota Camry,"₦ 2,797,500","282,613 km",Foreign Used,2006,"Lagos, Lagos"
44,Toyota Corolla,"₦ 6,515,000","71,584 km",Foreign Used,2015,"Ikate, Lekki, Lagos"
45,Toyota Camry,"₦ 5,680,000","112,019 km",Foreign Used,2012,"Lagos, Lagos"
46,Toyota Camry,"₦ 8,770,000","98,697 km",Foreign Used,2015,"Lagos, Lagos"
47,Toyota Highlander,"₦ 9,285,000","106,800 km",Foreign Used,2013,"Lagos, Lagos"
48,Lexus LX 570,"₦ 6,215,000","72,443 km",Foreign Used,2018,"Ikate, Lekki, Lagos"
49,Toyota Camry,"₦ 9,315,000","68,453 km",Foreign Used,2013,"Ikorodu, Lagos"
50,Toyota Venza,"₦ 4,765,000","57,451 km",Foreign Used,2013,"Ipaja, Lagos"
51,Mercedes-Benz C 350,"₦ 8,265,000","165,901 km",Foreign Used,2010,"New road, Lekki, Lagos"
52,Toyota Lexus RX 450h,"₦ 8,265,000","68,208 km",Foreign Used,2012,"New road, Lekki, Lagos"
53,Toyota Venza,"₦ 8,265,000","96,091 km",Foreign Used,2013,"Festac, Lagos"
54,Toyota Camry,"₦ 10,725,000","75,422 km",Foreign Used,2009,"Gwarinpa, Abuja"
55,Acura MDX,"₦ 11,315,000","221,505 km",Foreign Used,2009,"Surulere, Lagos"
56,Toyota Camry,"₦ 8,015,000","176,996 km",Foreign Used,2012,"Surulere, Lagos"
57,Toyota Highlander,"₦ 7,015,000","74,479 km",Foreign Used,2013,"Surulere, Lagos"
58,Toyota Camry,"₦ 8,515,000","72,308 mi",Foreign Used,2010,"Gwarinpa, Abuja"
59,Toyota Corolla,"₦ 9,015,000","134,462 km",Foreign Used,2008,"Gwarinpa, Abuja"
60,Toyota Highlander,"₦ 13,515,000","20,820 km",Foreign Used,2016,"Anthony, Lagos"
61,Toyota Prado,"₦ 13,015,000","69,601 km",Locally Used,2012,"Anthony, Lagos"
62,Kia Forte,"₦ 13,015,000","82,310 km",Foreign Used,2010,"Gwarinpa, Abuja"
63,Lexus GX 470,"₦ 5,015,000","155,601 mi",Foreign Used,2005,"Festac, Lagos"
64,Lexus LX 570,"₦ 30,015,000","31,504 km",Locally Used,2017,"Lagos, Lagos"
65,Lexus ES 350,"₦ 14,515,000","370,921 km",Foreign Used,2007,"Festac, Lagos"
66,Lexus ES 350,"₦ 2,515,000","194,550 km",Foreign Used,2008,"Festac, Lagos"
67,Toyota Sienna,"₦ 2,797,500","68,326 km",Foreign Used,2011,"Festac, Lagos"
68,Audi Q7,"₦ 6,515,000","201,050 km",Foreign Used,2008,"Festac, Lagos"
69,Lexus RX 350,"₦ 5,680,000","118,888 km",Foreign Used,2007,"Festac, Lagos"
70,Lexus RX 350,"₦ 8,770,000","137,471 km",Foreign Used,2010,"Festac, Lagos"
71,Mercedes-Benz C 300,"₦ 9,285,000","857,506 km",Foreign Used,2010,"Festac, Lagos"
72,Lexus ES 350,"₦ 50,015,000","72,443 km",Foreign Used,2011,"Festac, Lagos"
73,Toyota Highlander,"₦ 5,015,000","68,453 km",Foreign Used,2013,"Festac, Lagos"
74,Lexus RX 330,"₦ 7,115,000","57,451 km",Foreign Used,2004,"Festac, Lagos"
75,Mercedes-Benz GLK 350,"₦ 4,815,000","165,901 km",Foreign Used,2012,"Festac, Lagos"
76,Toyota Sienna,"₦ 8,515,000","68,208 km",Foreign Used,2012,"Festac, Lagos"
77,Lexus RX 350,"₦ 7,615,000","203,162 km",Foreign Used,2010,"Festac, Lagos"
78,Lexus RX 350,"₦ 3,515,000","68,204 mi",Foreign Used,2013,"Festac, Lagos"
79,Mercedes-Benz ML 350,"₦ 4,215,000","243,717 km",Foreign Used,2012,"Berger Mkt, Lagos"
80,Toyota RAV 4,"₦ 4,865,000","83,554 km",Foreign Used,2013,"Ikate, Lekki, Lagos"
81,Toyota Corolla,"₦ 8,815,000","63,380 km",Foreign Used,2016,"Ikate, Lekki, Lagos"
82,Hyundai Santa Fe,"₦ 4,865,000","146,372 km",Foreign Used,2013,"Ikate, Lekki, Lagos"
83,Lexus ES 350,"₦ 2,815,000","98,219 km",Foreign Used,2013,"Ikate, Lekki, Lagos"
84,Toyota Highlander,"₦ 15,015,000","48,415 km",Foreign Used,2016,"Ikate, Lekki, Lagos"
85,Mercedes-Benz C 300,"₦ 25,015,000","91,406 km",Foreign Used,2014,"Ikate, Lekki, Lagos"
86,Mercedes-Benz C 300,"₦ 13,015,000","48,013 km",Foreign Used,2015,"Ikate, Lekki, Lagos"
87,Toyota Camry,"₦ 5,015,000","72,283 km",Foreign Used,2012,"Kubwa Express, Abuja"
88,Lexus LX 570,"₦ 30,015,000","35,751 km",Foreign Used,2011,"Jahi, Abuja"
89,Toyota Landcruiser Prado,"₦ 14,515,000","52,310 km",Foreign Used,2011,"Jahi, Abuja"
90,Pontiac Vibe,"₦ 2,515,000","193,892 km",Foreign Used,2006,"Gwarinpa, Abuja"
91,Toyota Camry,"₦ 2,797,500","282,613 km",Foreign Used,2006,"Lagos, Lagos"
92,Toyota Corolla,"₦ 6,515,000","71,584 km",Foreign Used,2015,"Ikate, Lekki, Lagos"
93,Toyota Camry,"₦ 5,680,000","112,019 km",Foreign Used,2012,"Lagos, Lagos"
94,Toyota Camry,"₦ 8,770,000","98,697 km",Foreign Used,2015,"Lagos, Lagos"
95,Toyota Highlander,"₦ 9,285,000","106,800 km",Foreign Used,2013,"Lagos, Lagos"
96,Lexus LX 570,"₦ 6,215,000","21,204 km",Foreign Used,2018,"Ikate, Lekki, Lagos"
97,Toyota Camry,"₦ 9,315,000","140,309 km",Foreign Used,2013,"Ikorodu, Lagos"
98,Toyota Venza,"₦ 4,765,000","172,709 km",Foreign Used,2013,"Ipaja, Lagos"
99,Mercedes-Benz C 350,"₦ 8,265,000","114,936 km",Foreign Used,2010,"New road, Lekki, Lagos"
100,Toyota Lexus RX 450h,"₦ 8,265,000","77,012 mi",Foreign Used,2012,"New road, Lekki, Lagos"
101,Toyota Venza,"₦ 8,265,000","96,091 km",Foreign Used,2013,"Festac, Lagos"
102,Toyota Camry,"₦ 10,725,000","75,422 km",Foreign Used,2009,"Gwarinpa, Abuja"
103,Acura MDX,"₦ 11,315,000","221,505 km",Foreign Used,2009,"Surulere, Lagos"
104,Toyota Camry,"₦ 8,015,000","176,996 km",Foreign Used,2012,"Surulere, Lagos"
105,Toyota Highlander,"₦ 7,015,000","74,479 km",Foreign Used,2013,"Surulere, Lagos"
106,Toyota Camry,"₦ 8,515,000","72,308 mi",Foreign Used,2010,"Gwarinpa, Abuja"
107,Toyota Corolla,"₦ 9,015,000","134,462 km",Foreign Used,2008,"Gwarinpa, Abuja"
108,Toyota Highlander,"₦ 13,515,000","20,820 km",Foreign Used,2016,"Anthony, Lagos"
109,Toyota Prado,"₦ 13,015,000","69,601 km",Locally Used,2012,"Anthony, Lagos"
110,Kia Forte,"₦ 3,515,000","82,310 km",Foreign Used,2010,"Gwarinpa, Abuja"
111,Lexus GX 470,"₦ 5,815,000","155,601 mi",Foreign Used,2005,"Festac, Lagos"
112,Lexus LX 570,"₦ 42,515,000","31,504 km",Locally Used,2017,"Lagos, Lagos"
113,Lexus ES 350,"₦ 4,415,000","370,921 km",Foreign Used,2007,"Festac, Lagos"
114,Lexus ES 350,"₦ 4,645,000","194,550 km",Foreign Used,2008,"Festac, Lagos"
115,Toyota Sienna,"₦ 5,515,000","68,326 km",Foreign Used,2011,"Festac, Lagos"
116,Audi Q7,"₦ 5,685,000","201,050 km",Foreign Used,2008,"Festac, Lagos"
117,Lexus RX 350,"₦ 5,115,000","118,888 km",Foreign Used,2007,"Festac, Lagos"
118,Lexus RX 350,"₦ 7,765,000","137,471 km",Foreign Used,2010,"Festac, Lagos"
119,Mercedes-Benz C 300,"₦ 5,315,000","857,506 km",Foreign Used,2010,"Festac, Lagos"
120,Lexus ES 350,"₦ 50,015,000","72,443 km",Foreign Used,2011,"Festac, Lagos"
121,Toyota Highlander,"₦ 5,015,000","68,453 km",Foreign Used,2013,"Festac, Lagos"
122,Lexus RX 330,"₦ 7,115,000","57,451 km",Foreign Used,2004,"Festac, Lagos"
123,Mercedes-Benz GLK 350,"₦ 4,815,000","165,901 km",Foreign Used,2012,"Festac, Lagos"
124,Toyota Sienna,"₦ 8,515,000","68,208 km",Foreign Used,2012,"Festac, Lagos"
125,Lexus RX 350,"₦ 7,615,000","203,162 km",Foreign Used,2010,"Festac, Lagos"
126,Lexus RX 350,"₦ 3,515,000","68,204 mi",Foreign Used,2013,"Festac, Lagos"
127,Mercedes-Benz ML 350,"₦ 4,215,000","243,717 km",Foreign Used,2012,"Berger Mkt, Lagos"
128,Toyota RAV 4,"₦ 4,865,000","83,554 km",Foreign Used,2013,"Ikate, Lekki, Lagos"
129,Toyota Corolla,"₦ 8,815,000","63,380 km",Foreign Used,2016,"Ikate, Lekki, Lagos"
130,Hyundai Santa Fe,"₦ 4,865,000","146,372 km",Foreign Used,2013,"Ikate, Lekki, Lagos"
131,Lexus ES 350,"₦ 2,815,000","98,219 km",Foreign Used,2013,"Ikate, Lekki, Lagos"
132,Toyota Highlander,"₦ 15,015,000","48,415 km",Foreign Used,2016,"Ikate, Lekki, Lagos"
133,Mercedes-Benz C 300,"₦ 25,015,000","91,406 km",Foreign Used,2014,"Ikate, Lekki, Lagos"
134,Mercedes-Benz C 300,"₦ 3,515,000","48,013 km",Foreign Used,2015,"Ikate, Lekki, Lagos"
135,Toyota Camry,"₦ 5,015,000","72,283 km",Foreign Used,2012,"Kubwa Express, Abuja"
136,Lexus LX 570,"₦ 30,015,000","35,751 km",Foreign Used,2011,"Jahi, Abuja"
137,Toyota Landcruiser Prado,"₦ 14,515,000","52,310 km",Foreign Used,2011,"Jahi, Abuja"
138,Pontiac Vibe,"₦ 2,515,000","193,892 km",Foreign Used,2006,"Gwarinpa, Abuja"
139,Toyota Camry,"₦ 2,797,500","282,613 km",Foreign Used,2006,"Lagos, Lagos"
140,Toyota Corolla,"₦ 6,515,000","71,584 km",Foreign Used,2015,"Ikate, Lekki, Lagos"
141,Toyota Camry,"₦ 5,680,000","112,019 km",Foreign Used,2012,"Lagos, Lagos"
142,Toyota Camry,"₦ 8,770,000","98,697 km",Foreign Used,2015,"Lagos, Lagos"
143,Toyota Highlander,"₦ 9,285,000","106,800 km",Foreign Used,2013,"Lagos, Lagos"
144,Lexus LX 570,"₦ 6,215,000","21,204 km",Foreign Used,2018,"Ikate, Lekki, Lagos"
145,Toyota Camry,"₦ 9,315,000","140,309 km",Foreign Used,2013,"Ikorodu, Lagos"
146,Toyota Venza,"₦ 4,765,000","172,709 km",Foreign Used,2013,"Ipaja, Lagos"
147,Mercedes-Benz C 350,"₦ 8,265,000","114,936 km",Foreign Used,2010,"New road, Lekki, Lagos"
148,Toyota Lexus RX 450h,"₦ 8,265,000","77,012 mi",Foreign Used,2012,"New road, Lekki, Lagos"
149,Toyota Venza,"₦ 8,265,000","96,091 km",Foreign Used,2013,"Festac, Lagos"
150,Toyota Camry,"₦ 10,725,000","75,422 km",Foreign Used,2009,"Gwarinpa, Abuja"
151,Acura MDX,"₦ 11,315,000","221,505 km",Foreign Used,2009,"Surulere, Lagos"
152,Toyota Camry,"₦ 8,015,000","176,996 km",Foreign Used,2012,"Surulere, Lagos"
153,Toyota Highlander,"₦ 7,015,000","74,479 km",Foreign Used,2013,"Surulere, Lagos"
154,Toyota Camry,"₦ 8,515,000","72,308 mi",Foreign Used,2010,"Gwarinpa, Abuja"
155,Toyota Corolla,"₦ 2,815,000","134,462 km",Foreign Used,2008,"Gwarinpa, Abuja"
156,Toyota Highlander,"₦ 15,015,000","20,820 km",Foreign Used,2016,"Anthony, Lagos"
157,Toyota Prado,"₦ 25,015,000","69,601 km",Locally Used,2012,"Anthony, Lagos"
158,Kia Forte,"₦ 3,515,000","82,310 km",Foreign Used,2010,"Gwarinpa, Abuja"
159,Lexus GX 470,"₦ 5,815,000","155,601 mi",Foreign Used,2005,"Festac, Lagos"
160,Lexus LX 570,"₦ 42,515,000","31,504 km",Locally Used,2017,"Lagos, Lagos"
161,Lexus ES 350,"₦ 4,415,000","370,921 km",Foreign Used,2007,"Festac, Lagos"
162,Lexus ES 350,"₦ 4,645,000","194,550 km",Foreign Used,2008,"Festac, Lagos"
163,Toyota Sienna,"₦ 5,515,000","68,326 km",Foreign Used,2011,"Festac, Lagos"
164,Audi Q7,"₦ 5,685,000","201,050 km",Foreign Used,2008,"Festac, Lagos"
165,Lexus RX 350,"₦ 5,115,000","118,888 km",Foreign Used,2007,"Festac, Lagos"
166,Lexus RX 350,"₦ 7,765,000","137,471 km",Foreign Used,2010,"Festac, Lagos"
167,Mercedes-Benz C 300,"₦ 5,315,000","857,506 km",Foreign Used,2010,"Festac, Lagos"
168,Lexus ES 350,"₦ 50,015,000","72,443 km",Foreign Used,2011,"Festac, Lagos"
169,Toyota Highlander,"₦ 5,015,000","68,453 km",Foreign Used,2013,"Festac, Lagos"
170,Lexus RX 330,"₦ 7,115,000","57,451 km",Foreign Used,2004,"Festac, Lagos"
171,Mercedes-Benz GLK 350,"₦ 4,815,000","165,901 km",Foreign Used,2012,"Festac, Lagos"
172,Toyota Sienna,"₦ 8,515,000","68,208 km",Foreign Used,2012,"Festac, Lagos"
173,Lexus RX 350,"₦ 7,615,000","203,162 km",Foreign Used,2010,"Festac, Lagos"
174,Lexus RX 350,"₦ 3,515,000","68,204 mi",Foreign Used,2013,"Festac, Lagos"
175,Mercedes-Benz ML 350,"₦ 4,215,000","243,717 km",Foreign Used,2012,"Berger Mkt, Lagos"
176,Toyota RAV 4,"₦ 4,865,000","83,554 km",Foreign Used,2013,"Ikate, Lekki, Lagos"
177,Toyota Corolla,"₦ 8,815,000","63,380 km",Foreign Used,2016,"Ikate, Lekki, Lagos"
178,Hyundai Santa Fe,"₦ 4,865,000","146,372 km",Foreign Used,2013,"Ikate, Lekki, Lagos"
179,Lexus ES 350,"₦ 2,815,000","98,219 km",Foreign Used,2013,"Ikate, Lekki, Lagos"
180,Toyota Highlander,"₦ 15,015,000","48,415 km",Foreign Used,2016,"Ikate, Lekki, Lagos"
181,Mercedes-Benz C 300,"₦ 25,015,000","91,406 km",Foreign Used,2014,"Ikate, Lekki, Lagos"
182,Mercedes-Benz C 300,"₦ 3,515,000","48,013 km",Foreign Used,2015,"Ikate, Lekki, Lagos"
183,Toyota Camry,"₦ 5,015,000","72,283 km",Foreign Used,2012,"Kubwa Express, Abuja"
184,Lexus LX 570,"₦ 30,015,000","35,751 km",Foreign Used,2011,"Jahi, Abuja"
185,Toyota Landcruiser Prado,"₦ 14,515,000","52,310 km",Foreign Used,2011,"Jahi, Abuja"
186,Pontiac Vibe,"₦ 2,515,000","193,892 km",Foreign Used,2006,"Gwarinpa, Abuja"
187,Toyota Camry,"₦ 2,797,500","282,613 km",Foreign Used,2006,"Lagos, Lagos"
188,Toyota Corolla,"₦ 6,515,000","71,584 km",Foreign Used,2015,"Ikate, Lekki, Lagos"
189,Toyota Camry,"₦ 5,680,000","112,019 km",Foreign Used,2012,"Lagos, Lagos"
190,Toyota Camry,"₦ 8,770,000","98,697 km",Foreign Used,2015,"Lagos, Lagos"
191,Toyota Highlander,"₦ 9,285,000","106,800 km",Foreign Used,2013,"Lagos, Lagos"
192,Lexus LX 570,"₦ 6,215,000","21,204 km",Foreign Used,2018,"Ikate, Lekki, Lagos"
193,Toyota Camry,"₦ 9,315,000","140,309 km",Foreign Used,2013,"Ikorodu, Lagos"
194,Toyota Venza,"₦ 4,765,000","172,709 km",Foreign Used,2013,"Ipaja, Lagos"
195,Mercedes-Benz C 350,"₦ 8,265,000","114,936 km",Foreign Used,2010,"New road, Lekki, Lagos"
196,Toyota Lexus RX 450h,"₦ 8,265,000","77,012 mi",Foreign Used,2012,"New road, Lekki, Lagos"
197,Toyota Venza,"₦ 8,265,000","96,091 km",Foreign Used,2013,"Festac, Lagos"
198,Toyota Camry,"₦ 10,725,000","75,422 km",Foreign Used,2009,"Gwarinpa, Abuja"
199,Acura MDX,"₦ 11,315,000","221,505 km",Foreign Used,2009,"Surulere, Lagos"
200,Toyota Camry,"₦ 8,015,000","176,996 km",Foreign Used,2012,"Surulere, Lagos"
201,Toyota Highlander,"₦ 7,015,000","74,479 km",Foreign Used,2013,"Surulere, Lagos"
202,Toyota Camry,"₦ 8,515,000","72,308 mi",Foreign Used,2010,"Gwarinpa, Abuja"
203,Toyota Corolla,"₦ 9,015,000","134,462 km",Foreign Used,2008,"Gwarinpa, Abuja"
204,Toyota Highlander,"₦ 13,515,000","20,820 km",Foreign Used,2016,"Anthony, Lagos"
205,Toyota Prado,"₦ 13,015,000","69,601 km",Locally Used,2012,"Anthony, Lagos"
206,Kia Forte,"₦ 13,015,000","82,310 km",Foreign Used,2010,"Gwarinpa, Abuja"
207,Lexus GX 470,"₦ 5,015,000","155,601 mi",Foreign Used,2005,"Festac, Lagos"
208,Lexus LX 570,"₦ 30,015,000","31,504 km",Locally Used,2017,"Lagos, Lagos"
209,Lexus ES 350,"₦ 4,415,000","370,921 km",Foreign Used,2007,"Festac, Lagos"
210,Lexus ES 350,"₦ 4,645,000","194,550 km",Foreign Used,2008,"Festac, Lagos"
211,Toyota Sienna,"₦ 5,515,000","68,326 km",Foreign Used,2011,"Festac, Lagos"
212,Audi Q7,"₦ 5,685,000","201,050 km",Foreign Used,2008,"Festac, Lagos"
213,Lexus RX 350,"₦ 5,115,000","118,888 km",Foreign Used,2007,"Festac, Lagos"
214,Lexus RX 350,"₦ 7,765,000","137,471 km",Foreign Used,2010,"Festac, Lagos"
215,Mercedes-Benz C 300,"₦ 5,315,000","857,506 km",Foreign Used,2010,"Festac, Lagos"
216,Lexus ES 350,"₦ 50,015,000","72,443 km",Foreign Used,2011,"Festac, Lagos"
217,Toyota Highlander,"₦ 5,015,000","68,453 km",Foreign Used,2013,"Festac, Lagos"
218,Lexus RX 330,"₦ 7,115,000","57,451 km",Foreign Used,2004,"Festac, Lagos"
219,Mercedes-Benz GLK 350,"₦ 4,815,000","165,901 km",Foreign Used,2012,"Festac, Lagos"
220,Toyota Sienna,"₦ 8,515,000","68,208 km",Foreign Used,2012,"Festac, Lagos"
221,Lexus RX 350,"₦ 7,615,000","203,162 km",Foreign Used,2010,"Festac, Lagos"
222,Lexus RX 350,"₦ 3,515,000","68,204 mi",Foreign Used,2013,"Festac, Lagos"
223,Mercedes-Benz ML 350,"₦ 4,215,000","243,717 km",Foreign Used,2012,"Berger Mkt, Lagos"
224,Toyota RAV 4,"₦ 4,865,000","83,554 km",Foreign Used,2013,"Ikate, Lekki, Lagos"
225,Toyota Corolla,"₦ 8,815,000","63,380 km",Foreign Used,2016,"Ikate, Lekki, Lagos"
226,Hyundai Santa Fe,"₦ 4,865,000","146,372 km",Foreign Used,2013,"Ikate, Lekki, Lagos"
227,Lexus ES 350,"₦ 2,815,000","98,219 km",Foreign Used,2013,"Ikate, Lekki, Lagos"
228,Toyota Highlander,"₦ 13,515,000","48,415 km",Foreign Used,2016,"Ikate, Lekki, Lagos"
229,Mercedes-Benz C 300,"₦ 13,015,000","91,406 km",Foreign Used,2014,"Ikate, Lekki, Lagos"
230,Mercedes-Benz C 300,"₦ 13,015,000","48,013 km",Foreign Used,2015,"Ikate, Lekki, Lagos"
231,Toyota Camry,"₦ 5,015,000","72,283 km",Foreign Used,2012,"Kubwa Express, Abuja"
232,Lexus LX 570,"₦ 30,015,000","35,751 km",Foreign Used,2011,"Jahi, Abuja"
233,Toyota Landcruiser Prado,"₦ 14,515,000","52,310 km",Foreign Used,2011,"Jahi, Abuja"
234,Pontiac Vibe,"₦ 2,515,000","193,892 km",Foreign Used,2006,"Gwarinpa, Abuja"
235,Toyota Camry,"₦ 2,797,500","282,613 km",Foreign Used,2006,"Lagos, Lagos"
236,Toyota Corolla,"₦ 6,515,000","71,584 km",Foreign Used,2015,"Ikate, Lekki, Lagos"
237,Toyota Camry,"₦ 5,680,000","112,019 km",Foreign Used,2012,"Lagos, Lagos"
238,Toyota Camry,"₦ 8,770,000","98,697 km",Foreign Used,2015,"Lagos, Lagos"
239,Toyota Highlander,"₦ 9,285,000","106,800 km",Foreign Used,2013,"Lagos, Lagos"
240,Lexus LX 570,"₦ 6,215,000","21,204 km",Foreign Used,2018,"Ikate, Lekki, Lagos"
241,Toyota Camry,"₦ 9,315,000","140,309 km",Foreign Used,2013,"Ikorodu, Lagos"
242,Toyota Venza,"₦ 4,765,000","172,709 km",Foreign Used,2013,"Ipaja, Lagos"
243,Mercedes-Benz C 350,"₦ 8,265,000","114,936 km",Foreign Used,2010,"New road, Lekki, Lagos"
244,Toyota Lexus RX 450h,"₦ 8,265,000","77,012 mi",Foreign Used,2012,"New road, Lekki, Lagos"
245,Toyota Venza,"₦ 8,265,000","96,091 km",Foreign Used,2013,"Festac, Lagos"
246,Toyota Camry,"₦ 10,725,000","75,422 km",Foreign Used,2009,"Gwarinpa, Abuja"
247,Acura MDX,"₦ 11,315,000","221,505 km",Foreign Used,2009,"Surulere, Lagos"
248,Toyota Camry,"₦ 8,015,000","176,996 km",Foreign Used,2012,"Surulere, Lagos"
249,Toyota Highlander,"₦ 7,015,000","74,479 km",Foreign Used,2013,"Surulere, Lagos"
250,Toyota Camry,"₦ 8,515,000","72,308 mi",Foreign Used,2010,"Gwarinpa, Abuja"
251,Toyota Corolla,"₦ 9,015,000","134,462 km",Foreign Used,2008,"Gwarinpa, Abuja"
252,Toyota Highlander,"₦ 13,515,000","20,820 km",Foreign Used,2016,"Anthony, Lagos"
253,Toyota Prado,"₦ 13,015,000","69,601 km",Locally Used,2012,"Anthony, Lagos"
254,Kia Forte,"₦ 13,015,000","82,310 km",Foreign Used,2010,"Gwarinpa, Abuja"
255,Lexus GX 470,"₦ 5,815,000","155,601 mi",Foreign Used,2005,"Festac, Lagos"
256,Lexus LX 570,"₦ 42,515,000","31,504 km",Locally Used,2017,"Lagos, Lagos"
257,Lexus ES 350,"₦ 4,415,000","370,921 km",Foreign Used,2007,"Festac, Lagos"
258,Lexus ES 350,"₦ 4,645,000","194,550 km",Foreign Used,2008,"Festac, Lagos"
259,Toyota Sienna,"₦ 5,515,000","68,326 km",Foreign Used,2011,"Festac, Lagos"
260,Audi Q7,"₦ 5,685,000","201,050 km",Foreign Used,2008,"Festac, Lagos"
261,Lexus RX 350,"₦ 5,115,000","118,888 km",Foreign Used,2007,"Festac, Lagos"
262,Lexus RX 350,"₦ 7,765,000","137,471 km",Foreign Used,2010,"Festac, Lagos"
263,Mercedes-Benz C 300,"₦ 5,315,000","857,506 km",Foreign Used,2010,"Festac, Lagos"
264,Lexus ES 350,"₦ 50,015,000","72,443 km",Foreign Used,2011,"Festac, Lagos"
265,Toyota Highlander,"₦ 5,015,000","68,453 km",Foreign Used,2013,"Festac, Lagos"
266,Lexus RX 330,"₦ 7,115,000","57,451 km",Foreign Used,2004,"Festac, Lagos"
267,Mercedes-Benz GLK 350,"₦ 4,815,000","165,901 km",Foreign Used,2012,"Festac, Lagos"
268,Toyota Sienna,"₦ 8,515,000","68,208 km",Foreign Used,2012,"Festac, Lagos"
269,Lexus RX 350,"₦ 7,615,000","203,162 km",Foreign Used,2010,"Festac, Lagos"
